"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"C12orf75",256.791381348259,2.07387907415039,0.422604937174689,2.16584244346069e-08,3.75731472204518e-06
"CGA",98614.5368367393,1.71922503914379,0.327794956583463,2.70069497541916e-08,4.56656752932267e-06
"KRT19",7736.95495857967,1.21070781442873,0.245535625455256,2.91800143070033e-08,4.75349550137744e-06
"MME",4474.5027515741,1.59265776683736,0.325881741366419,2.90102278318393e-08,4.75349550137744e-06
"BMP6",212.857359244806,-1.13939992075967,0.224495588376156,3.0752311087025e-08,4.83281613529976e-06
"CCSAP",10686.4431718557,1.10463987892378,0.225360504123462,3.63768176736984e-08,5.39912811650292e-06
"TENM4",48.1647619288587,2.2374413473316,0.461504119709065,3.60454904148921e-08,5.39912811650292e-06
"SYDE1",3656.51757488156,1.27145357735398,0.260774241782111,3.75258486489158e-08,5.5084646840903e-06
"PNCK",85.1867432085471,3.22453379926583,0.692907137827194,5.02245590420564e-08,7.23610820710117e-06
"SDC3",796.340948579618,1.07584174965083,0.222333776546171,5.03786542341974e-08,7.23610820710117e-06
"HK2",708.982979563851,3.2568837109461,0.711881007674011,5.86463139846588e-08,8.24628907586392e-06
"HTRA1",20013.9765194835,1.49083492183313,0.321216581375879,9.97137583016271e-08,1.30585919940503e-05
"CYP26A1",42.452849501933,3.71073057562825,0.820542261206684,1.18437671833946e-07,1.52124078880562e-05
"GPIHBP1",103.281992011697,1.9017791377084,0.416954857874594,1.217911995171e-07,1.53132150453361e-05
"PDZD7",40.7265612320853,2.51346182151055,0.550676299082638,1.22661626729373e-07,1.53132150453361e-05
"SCD",451.080555774729,1.89005179815883,0.415262593165078,1.21535330741842e-07,1.53132150453361e-05
"PLOD2",1404.29882331073,1.43938561158841,0.316999173133858,1.61089663814272e-07,1.88757520107987e-05
"SLCO2A1",2380.14994025928,1.1262760705522,0.246428424228704,1.75157334561616e-07,2.03456667397744e-05
"OR51B5",16.2868559113894,-2.95795302687241,0.620331952186523,1.81234642183942e-07,2.07027248649723e-05
"BCL6",999.883081408543,1.36695306847577,0.303585265873238,2.00332662258726e-07,2.24877622054795e-05
"ANG",21.6261069723143,1.88013771153771,0.410629409021336,2.02969842270088e-07,2.25749212651932e-05
"WDR86-AS1",186.471316113447,2.25713359493297,0.512348267065144,2.04489105636202e-07,2.25749212651932e-05
"S100A6",2414.451232342,1.03130613576087,0.225934302978785,2.09040919523506e-07,2.28882672376639e-05
"ASPHD2",42.5399551645605,3.219512811127,0.742545375231099,2.68136053959885e-07,2.84266778475885e-05
"CADM3",255.372927636261,-2.1589933920427,0.460808484006041,2.66282483599976e-07,2.84266778475885e-05
"YPEL4",32.1833494441278,1.72679366102137,0.383061010948058,2.67544289920037e-07,2.84266778475885e-05
"CYP2J2",426.207757393097,1.06380756806109,0.237275350083884,3.03483199537526e-07,3.09460196902464e-05
"PADI1",73.4915006542948,4.19043932598263,1.00399311654073,3.24257611090681e-07,3.23270117427165e-05
"AQP1",369.676207425613,1.95107571753699,0.450794484235235,3.30815832075594e-07,3.27336139619688e-05
"GAPDH",4744.36364641613,1.24505766534905,0.284396384955729,4.02246458778605e-07,3.81078595486852e-05
"CP",166.875008168067,2.95218635792361,0.704984386542536,4.11274664723291e-07,3.85579451381361e-05
"DUSP1",6451.37137392764,1.08209840915305,0.245047177894512,4.13595721596893e-07,3.85579451381361e-05
"ERO1A",1497.88341914412,1.21832050179021,0.279069044626342,4.15656842333553e-07,3.85579451381361e-05
"ABCA12",242.766631315454,1.90387479620587,0.445215417276709,4.24914577612979e-07,3.91448891569253e-05
"ADAMTS3",179.235203117067,-1.31323360499415,0.290434093044055,4.68034810310933e-07,4.2796186634726e-05
"ARRDC3",7090.4775093843,1.14561232940167,0.262693390068107,4.7095668777547e-07,4.2796186634726e-05
"GPT2",336.159508508643,1.5549743963255,0.363190339930739,4.9159964305407e-07,4.40724028987669e-05
"ANKRD37",100.628692460768,2.64172679919409,0.636353319149508,5.54853702201699e-07,4.87614194342783e-05
"KIAA1549",410.950839294176,-1.18381790631771,0.264773886700072,5.92363977987532e-07,5.10503097932739e-05
"SLC25A25-AS1",60.8591030596329,-1.29228150085399,0.29032420423306,5.9148978028573e-07,5.10503097932739e-05
"NEB",886.352225191546,-1.02579267209435,0.229973609940909,6.37983286259089e-07,5.42814059735599e-05
"ACOXL",147.867166251694,-2.29962712395671,0.511396454157644,6.74849866061149e-07,5.59915808127008e-05
"CGB7",133.562007948039,3.58711446680931,0.902902721257517,7.82860632142637e-07,6.37649531961057e-05
"LDHA",1488.57678825185,1.37266207288222,0.328353434030333,8.32255481764534e-07,6.5911615260883e-05
